Status;Age;Able;Mild;Moderate;Severe;Profound;Dead
Able;20;0.991502;0.004906;0.001299;0.0009463;0.000929;0.000417
Able;21;0.9913782;0.0049766;0.0013177;0.00095993;0.0009424;0.0004245
Able;22;0.9912544;0.0050472;0.0013364;0.00097356;0.0009558;0.000432
Able;23;0.9911306;0.0051178;0.0013551;0.00098719;0.0009692;0.0004395
Able;24;0.9910068;0.0051884;0.0013738;0.00100082;0.0009826;0.000447
Able;25;0.990883;0.005259;0.0013925;0.00101445;0.000996;0.0004545
Able;26;0.9907592;0.0053296;0.0014112;0.00102808;0.0010094;0.000462
Able;27;0.9906354;0.0054002;0.0014299;0.00104171;0.0010228;0.0004695
Able;28;0.9905116;0.0054708;0.0014486;0.00105534;0.0010362;0.000477
Able;29;0.9903878;0.0055414;0.0014673;0.00106897;0.0010496;0.0004845
Able;30;0.990264;0.005612;0.001486;0.0010826;0.001063;0.000492
Able;31;0.9899152;0.0057994;0.0015357;0.00111877;0.0010985;0.0005321
Able;32;0.9895664;0.0059868;0.0015854;0.00115494;0.001134;0.0005722
Able;33;0.9892176;0.0061742;0.0016351;0.00119111;0.0011695;0.0006123
Able;34;0.9888688;0.0063616;0.0016848;0.00122728;0.001205;0.0006524
Able;35;0.98852;0.006549;0.0017345;0.00126345;0.0012405;0.0006925
Able;36;0.9881712;0.0067364;0.0017842;0.00129962;0.001276;0.0007326
Able;37;0.9878224;0.0069238;0.0018339;0.00133579;0.0013115;0.0007727
Able;38;0.9874736;0.0071112;0.0018836;0.00137196;0.001347;0.0008128
Able;39;0.9871248;0.0072986;0.0019333;0.00140813;0.0013825;0.0008529
Able;40;0.986776;0.007486;0.001983;0.0014443;0.001418;0.000893
Able;41;0.9858294;0.0079788;0.0021137;0.00153968;0.0015119;0.0010268
Able;42;0.9848828;0.0084716;0.0022444;0.00163506;0.0016058;0.0011606
Able;43;0.9839362;0.0089644;0.0023751;0.00173044;0.0016997;0.0012944
Able;44;0.9829896;0.0094572;0.0025058;0.00182582;0.0017936;0.0014282
Able;45;0.982043;0.00995;0.0026365;0.0019212;0.0018875;0.001562
Able;46;0.9810964;0.0104428;0.0027672;0.00201658;0.0019814;0.0016958
Able;47;0.9801498;0.0109356;0.0028979;0.00211196;0.0020753;0.0018296
Able;48;0.9792032;0.0114284;0.0030286;0.00220734;0.0021692;0.0019634
Able;49;0.9782566;0.0119212;0.0031593;0.00230272;0.0022631;0.0020972
Able;50;0.97731;0.012414;0.00329;0.0023981;0.002357;0.002231
Able;51;0.974867;0.0136711;0.0036269;0.00264633;0.0026036;0.0025851
Able;52;0.972424;0.0149282;0.0039638;0.00289456;0.0028502;0.0029392
Able;53;0.969981;0.0161853;0.0043007;0.00314279;0.0030968;0.0032933
Able;54;0.967538;0.0174424;0.0046376;0.00339102;0.0033434;0.0036474
Able;55;0.965095;0.0186995;0.0049745;0.00363925;0.00359;0.0040015
Able;56;0.962652;0.0199566;0.0053114;0.00388748;0.0038366;0.0043556
Able;57;0.960209;0.0212137;0.0056483;0.00413571;0.0040832;0.0047097
Able;58;0.957766;0.0224708;0.0059852;0.00438394;0.0043298;0.0050638
Able;59;0.955323;0.0237279;0.0063221;0.00463217;0.0045764;0.0054179
Able;60;0.95288;0.024985;0.006659;0.0048804;0.004823;0.005772
Able;61;0.9496031;0.0262292;0.0070412;0.00519947;0.0051788;0.0067477
Able;62;0.9463262;0.0274734;0.0074234;0.00551854;0.0055346;0.0077234
Able;63;0.9430493;0.0287176;0.0078056;0.00583761;0.0058904;0.0086991
Able;64;0.9397724;0.0299618;0.0081878;0.00615668;0.0062462;0.0096748
Able;65;0.9364955;0.031206;0.00857;0.00647575;0.006602;0.0106505
Able;66;0.9332186;0.0324502;0.0089522;0.00679482;0.0069578;0.0116262
Able;67;0.9299417;0.0336944;0.0093344;0.00711389;0.0073136;0.0126019
Able;68;0.9266648;0.0349386;0.0097166;0.00743296;0.0076694;0.0135776
Able;69;0.9233879;0.0361828;0.0100988;0.00775203;0.0080252;0.0145533
Able;70;0.920111;0.037427;0.010481;0.0080711;0.008381;0.015529
Able;71;0.9026521;0.0425192;0.0127787;0.01074822;0.0124354;0.0188664
Able;72;0.8851932;0.0476114;0.0150764;0.01342534;0.0164898;0.0222038
Able;73;0.8677343;0.0527036;0.0173741;0.01610246;0.0205442;0.0255412
Able;74;0.8502754;0.0577958;0.0196718;0.01877958;0.0245986;0.0288786
Able;75;0.8328165;0.062888;0.0219695;0.0214567;0.028653;0.032216
Able;76;0.8153576;0.0679802;0.0242672;0.02413382;0.0327074;0.0355534
Able;77;0.7978987;0.0730724;0.0265649;0.02681094;0.0367618;0.0388908
Able;78;0.7804398;0.0781646;0.0288626;0.02948806;0.0408162;0.0422282
Able;79;0.7629809;0.0832568;0.0311603;0.03216518;0.0448706;0.0455656
Able;80;0.745522;0.088349;0.033458;0.0348423;0.048925;0.048903
Able;81;0.720671267;0.085404033;0.032342733;0.03368089;0.047294167;0.080606233
Able;82;0.695820533;0.082459067;0.031227467;0.03251948;0.045663333;0.112309467
Able;83;0.6709698;0.0795141;0.0301122;0.03135807;0.0440325;0.1440127
Able;84;0.646119067;0.076569133;0.028996933;0.03019666;0.042401667;0.175715933
Able;85;0.621268333;0.073624167;0.027881667;0.02903525;0.040770833;0.207419167
Able;86;0.5964176;0.0706792;0.0267664;0.02787384;0.03914;0.2391224
Able;87;0.571566867;0.067734233;0.025651133;0.02671243;0.037509167;0.270825633
Able;88;0.546716133;0.064789267;0.024535867;0.02555102;0.035878333;0.302528867
Able;89;0.5218654;0.0618443;0.0234206;0.02438961;0.0342475;0.3342321
Able;90;0.497014667;0.058899333;0.022305333;0.0232282;0.032616667;0.365935333
Able;91;0.472163933;0.055954367;0.021190067;0.02206679;0.030985833;0.397638567
Able;92;0.4473132;0.0530094;0.0200748;0.02090538;0.029355;0.4293418
Able;93;0.422462467;0.050064433;0.018959533;0.01974397;0.027724167;0.461045033
Able;94;0.397611733;0.047119467;0.017844267;0.01858256;0.026093333;0.492748267
Able;95;0.372761;0.0441745;0.016729;0.01742115;0.0244625;0.5244515
Able;96;0.347910267;0.041229533;0.015613733;0.01625974;0.022831667;0.556154733
Able;97;0.323059533;0.038284567;0.014498467;0.01509833;0.021200833;0.587857967
Able;98;0.2982088;0.0353396;0.0133832;0.01393692;0.01957;0.6195612
Able;99;0.273358067;0.032394633;0.012267933;0.01277551;0.017939167;0.651264433
Able;100;0.248507333;0.029449667;0.011152667;0.0116141;0.016308333;0.682967667
Able;101;0.2236566;0.0265047;0.0100374;0.01045269;0.0146775;0.7146709
Able;102;0.198805867;0.023559733;0.008922133;0.00929128;0.013046667;0.746374133
Able;103;0.173955133;0.020614767;0.007806867;0.00812987;0.011415833;0.778077367
Able;104;0.1491044;0.0176698;0.0066916;0.00696846;0.009785;0.8097806
Able;105;0.124253667;0.014724833;0.005576333;0.00580705;0.008154167;0.841483833
Able;106;0.099402933;0.011779867;0.004461067;0.00464564;0.006523333;0.873187067
Able;107;0.0745522;0.0088349;0.0033458;0.00348423;0.0048925;0.9048903
Able;108;0.049701467;0.005889933;0.002230533;0.00232282;0.003261667;0.936593533
Able;109;0.024850733;0.002944967;0.001115267;0.00116141;0.001630833;0.968296767
Able;110;0;0;0;0;0;1
Mild;20;0.15;0.845614;0.001624;0.001183;0.001162;0.000417
Mild;21;0.15;0.8455493;0.0016474;0.00120003;0.0011787;0.0004245
Mild;22;0.15;0.8454846;0.0016708;0.00121706;0.0011954;0.000432
Mild;23;0.15;0.8454199;0.0016942;0.00123409;0.0012121;0.0004395
Mild;24;0.15;0.8453552;0.0017176;0.00125112;0.0012288;0.000447
Mild;25;0.15;0.8452905;0.001741;0.00126815;0.0012455;0.0004545
Mild;26;0.15;0.8452258;0.0017644;0.00128518;0.0012622;0.000462
Mild;27;0.15;0.8451611;0.0017878;0.00130221;0.0012789;0.0004695
Mild;28;0.15;0.8450964;0.0018112;0.00131924;0.0012956;0.000477
Mild;29;0.15;0.8450317;0.0018346;0.00133627;0.0013123;0.0004845
Mild;30;0.15;0.844967;0.001858;0.0013533;0.001329;0.000492
Mild;31;0.15;0.8447753;0.0019201;0.00139851;0.0013734;0.0005321
Mild;32;0.15;0.8445836;0.0019822;0.00144372;0.0014178;0.0005722
Mild;33;0.15;0.8443919;0.0020443;0.00148893;0.0014622;0.0006123
Mild;34;0.15;0.8442002;0.0021064;0.00153414;0.0015066;0.0006524
Mild;35;0.15;0.8440085;0.0021685;0.00157935;0.001551;0.0006925
Mild;36;0.15;0.8438168;0.0022306;0.00162456;0.0015954;0.0007326
Mild;37;0.15;0.8436251;0.0022927;0.00166977;0.0016398;0.0007727
Mild;38;0.15;0.8434334;0.0023548;0.00171498;0.0016842;0.0008128
Mild;39;0.15;0.8432417;0.0024169;0.00176019;0.0017286;0.0008529
Mild;40;0.15;0.84305;0.002479;0.0018054;0.001773;0.000893
Mild;41;0.15;0.8425162;0.0026424;0.00192463;0.0018903;0.0010268
Mild;42;0.15;0.8419824;0.0028058;0.00204386;0.0020076;0.0011606
Mild;43;0.15;0.8414486;0.0029692;0.00216309;0.0021249;0.0012944
Mild;44;0.15;0.8409148;0.0031326;0.00228232;0.0022422;0.0014282
Mild;45;0.15;0.840381;0.003296;0.00240155;0.0023595;0.001562
Mild;46;0.15;0.8398472;0.0034594;0.00252078;0.0024768;0.0016958
Mild;47;0.15;0.8393134;0.0036228;0.00264001;0.0025941;0.0018296
Mild;48;0.15;0.8387796;0.0037862;0.00275924;0.0027114;0.0019634
Mild;49;0.15;0.8382458;0.0039496;0.00287847;0.0028287;0.0020972
Mild;50;0.15;0.837712;0.004113;0.0029977;0.002946;0.002231
Mild;51;0.15;0.8363182;0.0045341;0.00330801;0.0032543;0.0025851
Mild;52;0.15;0.8349244;0.0049552;0.00361832;0.0035626;0.0029392
Mild;53;0.15;0.8335306;0.0053763;0.00392863;0.0038709;0.0032933
Mild;54;0.15;0.8321368;0.0057974;0.00423894;0.0041792;0.0036474
Mild;55;0.15;0.830743;0.0062185;0.00454925;0.0044875;0.0040015
Mild;56;0.15;0.8293492;0.0066396;0.00485956;0.0047958;0.0043556
Mild;57;0.15;0.8279554;0.0070607;0.00516987;0.0051041;0.0047097
Mild;58;0.15;0.8265616;0.0074818;0.00548018;0.0054124;0.0050638
Mild;59;0.15;0.8251678;0.0079029;0.00579049;0.0057207;0.0054179
Mild;60;0.15;0.823774;0.008324;0.0061008;0.006029;0.005772
Mild;61;0.15;0.821477;0.0088018;0.00649965;0.0064737;0.0067477
Mild;62;0.15;0.81918;0.0092796;0.0068985;0.0069184;0.0077234
Mild;63;0.15;0.816883;0.0097574;0.00729735;0.0073631;0.0086991
Mild;64;0.15;0.814586;0.0102352;0.0076962;0.0078078;0.0096748
Mild;65;0.15;0.812289;0.010713;0.00809505;0.0082525;0.0106505
Mild;66;0.15;0.809992;0.0111908;0.0084939;0.0086972;0.0116262
Mild;67;0.15;0.807695;0.0116686;0.00889275;0.0091419;0.0126019
Mild;68;0.15;0.805398;0.0121464;0.0092916;0.0095866;0.0135776
Mild;69;0.15;0.803101;0.0126242;0.00969045;0.0100313;0.0145533
Mild;70;0.15;0.800804;0.013102;0.0100893;0.010476;0.015529
Mild;71;0.15;0.7861794;0.0159743;0.01343587;0.0155443;0.0188664
Mild;72;0.15;0.7715548;0.0188466;0.01678244;0.0206126;0.0222038
Mild;73;0.15;0.7569302;0.0217189;0.02012901;0.0256809;0.0255412
Mild;74;0.15;0.7423056;0.0245912;0.02347558;0.0307492;0.0288786
Mild;75;0.15;0.727681;0.0274635;0.02682215;0.0358175;0.032216
Mild;76;0.15;0.7130564;0.0303358;0.03016872;0.0408858;0.0355534
Mild;77;0.15;0.6984318;0.0332081;0.03351529;0.0459541;0.0388908
Mild;78;0.15;0.6838072;0.0360804;0.03686186;0.0510224;0.0422282
Mild;79;0.15;0.6691826;0.0389527;0.04020843;0.0560907;0.0455656
Mild;80;0.15;0.654558;0.041825;0.043555;0.061159;0.048903
Mild;81;0.145;0.6327394;0.040430833;0.042103167;0.059120367;0.080606233
Mild;82;0.14;0.6109208;0.039036667;0.040651333;0.057081733;0.112309467
Mild;83;0.135;0.5891022;0.0376425;0.0391995;0.0550431;0.1440127
Mild;84;0.13;0.5672836;0.036248333;0.037747667;0.053004467;0.175715933
Mild;85;0.125;0.545465;0.034854167;0.036295833;0.050965833;0.207419167
Mild;86;0.12;0.5236464;0.03346;0.034844;0.0489272;0.2391224
Mild;87;0.115;0.5018278;0.032065833;0.033392167;0.046888567;0.270825633
Mild;88;0.11;0.4800092;0.030671667;0.031940333;0.044849933;0.302528867
Mild;89;0.105;0.4581906;0.0292775;0.0304885;0.0428113;0.3342321
Mild;90;0.1;0.436372;0.027883333;0.029036667;0.040772667;0.365935333
Mild;91;0.095;0.4145534;0.026489167;0.027584833;0.038734033;0.397638567
Mild;92;0.09;0.3927348;0.025095;0.026133;0.0366954;0.4293418
Mild;93;0.085;0.3709162;0.023700833;0.024681167;0.034656767;0.461045033
Mild;94;0.08;0.3490976;0.022306667;0.023229333;0.032618133;0.492748267
Mild;95;0.075;0.327279;0.0209125;0.0217775;0.0305795;0.5244515
Mild;96;0.07;0.3054604;0.019518333;0.020325667;0.028540867;0.556154733
Mild;97;0.065;0.2836418;0.018124167;0.018873833;0.026502233;0.587857967
Mild;98;0.06;0.2618232;0.01673;0.017422;0.0244636;0.6195612
Mild;99;0.055;0.2400046;0.015335833;0.015970167;0.022424967;0.651264433
Mild;100;0.05;0.218186;0.013941667;0.014518333;0.020386333;0.682967667
Mild;101;0.045;0.1963674;0.0125475;0.0130665;0.0183477;0.7146709
Mild;102;0.04;0.1745488;0.011153333;0.011614667;0.016309067;0.746374133
Mild;103;0.035;0.1527302;0.009759167;0.010162833;0.014270433;0.778077367
Mild;104;0.03;0.1309116;0.008365;0.008711;0.0122318;0.8097806
Mild;105;0.025;0.109093;0.006970833;0.007259167;0.010193167;0.841483833
Mild;106;0.02;0.0872744;0.005576667;0.005807333;0.008154533;0.873187067
Mild;107;0.015;0.0654558;0.0041825;0.0043555;0.0061159;0.9048903
Mild;108;0.01;0.0436372;0.002788333;0.002903667;0.004077267;0.936593533
Mild;109;0.005;0.0218186;0.001394167;0.001451833;0.002038633;0.968296767
Mild;110;0;0;0;0;0;1
Moderate;20;0;0.15;0.846652;0.0014788;0.001452;0.000417
Moderate;21;0;0.15;0.8466023;0.00150009;0.0014729;0.0004245
Moderate;22;0;0.15;0.8465526;0.00152138;0.0014938;0.000432
Moderate;23;0;0.15;0.8465029;0.00154267;0.0015147;0.0004395
Moderate;24;0;0.15;0.8464532;0.00156396;0.0015356;0.000447
Moderate;25;0;0.15;0.8464035;0.00158525;0.0015565;0.0004545
Moderate;26;0;0.15;0.8463538;0.00160654;0.0015774;0.000462
Moderate;27;0;0.15;0.8463041;0.00162783;0.0015983;0.0004695
Moderate;28;0;0.15;0.8462544;0.00164912;0.0016192;0.000477
Moderate;29;0;0.15;0.8462047;0.00167041;0.0016401;0.0004845
Moderate;30;0;0.15;0.846155;0.0016917;0.001661;0.000492
Moderate;31;0;0.15;0.8460029;0.00174822;0.0017166;0.0005321
Moderate;32;0;0.15;0.8458508;0.00180474;0.0017722;0.0005722
Moderate;33;0;0.15;0.8456987;0.00186126;0.0018278;0.0006123
Moderate;34;0;0.15;0.8455466;0.00191778;0.0018834;0.0006524
Moderate;35;0;0.15;0.8453945;0.0019743;0.001939;0.0006925
Moderate;36;0;0.15;0.8452424;0.00203082;0.0019946;0.0007326
Moderate;37;0;0.15;0.8450903;0.00208734;0.0020502;0.0007727
Moderate;38;0;0.15;0.8449382;0.00214386;0.0021058;0.0008128
Moderate;39;0;0.15;0.8447861;0.00220038;0.0021614;0.0008529
Moderate;40;0;0.15;0.844634;0.0022569;0.002217;0.000893
Moderate;41;0;0.15;0.8442045;0.00240594;0.0023636;0.0010268
Moderate;42;0;0.15;0.843775;0.00255498;0.0025102;0.0011606
Moderate;43;0;0.15;0.8433455;0.00270402;0.0026568;0.0012944
Moderate;44;0;0.15;0.842916;0.00285306;0.0028034;0.0014282
Moderate;45;0;0.15;0.8424865;0.0030021;0.00295;0.001562
Moderate;46;0;0.15;0.842057;0.00315114;0.0030966;0.0016958
Moderate;47;0;0.15;0.8416275;0.00330018;0.0032432;0.0018296
Moderate;48;0;0.15;0.841198;0.00344922;0.0033898;0.0019634
Moderate;49;0;0.15;0.8407685;0.00359826;0.0035364;0.0020972
Moderate;50;0;0.15;0.840339;0.0037473;0.003683;0.002231
Moderate;51;0;0.15;0.8392116;0.00413521;0.0040684;0.0025851
